Driver,Team,Points,TRP,AvgTRP,AvgQP
Lewis Hamilton,Mercedes,347,30,1.875,1.69
Valtteri Bottas,Mercedes,223,89,5.24,2.29
Max Verstappen,Red Bull,214,129,7.59,3.12
Sergio Pérez,Racing Point,125,111,7.4,7.07
Daniel Ricciardo,Renault,119,128,7.53,7.71
Carlos Sainz Jr.,McLaren,105,155,9.12,8.29
Alexander Albon,Red Bull,105,144,8.47,7.18
Charles Leclerc,Ferrari,98,171,10.06,8.29
Lando Norris,McLaren,97,145,8.53,8.24
Pierre Gasly,AlphaTauri,75,176,10.35,10.12
Lance Stroll,Racing Point,75,177,11.06,8.63
Esteban Ocon,Renault,63,188,11.05,9.94
Sebastian Vettel,Ferrari,33,196,11.53,12.24
Daniil Kvyat,AlphaTauri,32,190,11.17,12.12
Nico Hülkenberg,Racing Point,10,35,11.67,12
Kimi Räikkönen,Alfa Romeo,4,228,13.41,16.65
Antonio Giovinazzi,Alfa Romeo,4,254,14.94,16.88
George Russell (W),Williams,0,261,16.31,15.56
Romain Grosjean,Haas,2,236,15.73,17
Kevin Magnussen,Haas,1,282,16.59,16.88
Nicholas Latifi,Williams,0,276,16.24,18.88
Jack Aitken,Williams,0,16,16,18
Pietro Fittipaldi,Haas,0,36,18,19.5
George Russell (M),Mercedes,3,9,9,2